date,total,contained,outside,hazardous,gas,aqueous,gas_contained,aqueous_contained,gas_outside,aqueous_outside,gas_hazardous,aqueous_hazardous
2020-01-01,1239082991.8141632,1233786285.762643,5296706.051520066,0.0,1137828975.7177536,101254016.09640945,1132916228.2260551,100870057.53658803,4912747.491698644,383958.5598214223,0.0,0.0
2040-01-01,1353398788.9796329,1342293548.2002525,11105240.779380295,0.0,1242852537.0312946,110546251.94833827,1232552315.8649807,109741232.3352719,10300221.166313924,805019.6130663707,0.0,0.0
2060-01-01,1480244528.2394965,1459078741.7088153,21165786.530681223,0.0,1359421037.1562674,120823491.08322911,1339789559.8424392,119289181.86637616,19631477.313828275,1534309.2168529476,0.0,0.0
2080-01-01,1621996099.2275996,1584891579.947991,37104519.2796088,0.0,1489731190.1560082,132264909.07159144,1455316379.847766,129575200.10022493,34414810.30824229,2689708.971366508,0.0,0.0
2100-01-01,1780260508.4068232,1719801802.1271398,60458706.27968334,0.0,1635272864.2578673,144987644.148956,1579196813.4561393,140604988.67100066,56076050.801728,4382655.477955336,0.0,0.0
2120-01-01,1955694462.8299496,1863202571.0505016,92491891.77944796,0.0,1796660785.0010376,159033677.8289119,1710873636.3614519,152328934.6890497,85787148.63958578,6704743.139862186,0.0,0.0
2140-01-01,2148045191.643465,2013896839.45876,134148352.18470488,0.0,1973671597.2781167,174373594.36534822,1849247667.707439,164649171.75132105,124423929.57067773,9724422.614027161,0.0,0.0
2160-01-01,2356363918.513242,2170231614.0885887,186132304.4246532,0.0,2165440618.980699,190923299.53254288,1992801057.1866517,177430556.9019371,172639561.79404742,13492742.630605778,0.0,0.0
2180-01-01,2579290924.40532,2330264412.173429,249026512.23189136,0.0,2370724697.10122,208566227.30410048,2139750132.6391068,190514279.5343222,230974564.46211308,18051947.76977829,0.0,0.0
2200-01-01,2815312778.1415205,2491942787.1315646,323369991.0099565,0.0,2588139128.064524,227173650.07699722,2288210248.3471255,203732538.78443885,299928879.7173981,23441111.29255835,0.0,0.0
