date,total,total_contained,total_outside,total_hazardous,total_gas,total_aqueous,gas_contained,aqueous_contained,gas_outside,aqueous_outside,gas_hazardous,aqueous_hazardous
2020-01-01,10169247.745245047,9942693.516065316,226554.2291797288,0.0,9764038.180748442,405209.56449660275,9545600.66744556,397092.84861975524,218437.51330288133,8116.715876847491,0.0,0.0
2040-01-01,11083766.987970088,10722276.558561014,361490.4294090741,0.0,10642587.980063073,441179.00790701504,10294048.60046815,428227.95809286495,348539.3795949239,12951.049814150112,0.0,0.0
2060-01-01,12052608.969840076,11503171.494516067,549437.4753240092,0.0,11573508.91429071,479100.0555493681,11043756.032343943,459415.4621721264,529752.8819467674,19684.593377241694,0.0,0.0
2080-01-01,13082494.11621574,12281338.89654565,801155.2196700891,0.0,12563297.244848493,519196.8713672479,11790844.862970749,490494.03357490315,772452.3818777442,28702.83779234474,0.0,0.0
2100-01-01,14177890.472442964,13053113.474785194,1124776.9976577717,0.0,13616276.010527033,561614.4619159308,12531796.187403837,521317.28738135553,1084479.8231231964,40297.174534575235,0.0,0.0
2120-01-01,15340766.212473022,13816238.210697629,1524528.0017753947,0.0,14734352.15125811,606414.0612149124,13264443.128265461,551795.0824321667,1469909.022992649,54618.978782745755,0.0,0.0
2140-01-01,16570710.300316703,14569952.617271315,2000757.6830453887,0.0,15917132.483785477,653577.8165312249,13988055.570993183,581897.0462781301,1929076.912792294,71680.77025309471,0.0,0.0
2160-01-01,17865463.966624208,15314500.402336162,2550963.5642880476,0.0,17162438.161298472,703025.8053257347,14702867.49017549,611632.9121606712,2459570.671122984,91392.89316506348,0.0,0.0
2180-01-01,19221757.91140159,16050519.153733045,3171238.757668546,0.0,18467114.39105794,754643.520343654,15409491.009570353,641028.1441626935,3057623.381487585,113615.37618096037,0.0,0.0
2200-01-01,20636251.154618997,16778548.690408144,3857702.464210854,0.0,19827937.670317557,808313.4843014389,16108444.38875045,670104.3016576942,3719493.281567109,138209.1826437447,0.0,0.0
