date,total,contained,outside,hazardous,gas,aqueous,gas_contained,aqueous_contained,gas_outside,aqueous_outside,gas_hazardous,aqueous_hazardous
2020-01-01,1518271539.4801717,1515870184.0930436,2401355.3871280714,0.0,1453180651.0990312,65090888.38114033,1450849047.322852,65021136.77019157,2331603.776179315,69751.61094875656,0.0,0.0
2040-01-01,1654420837.3306549,1649231528.056711,5189309.273943751,0.0,1583528619.1037931,70892218.22686163,1578490042.488376,70741485.56833506,5038576.615417188,150732.65852656335,0.0,0.0
2060-01-01,1792940794.5564864,1782767865.3147912,10172929.241695223,0.0,1716175963.3891196,76764831.16736683,1706298524.8550804,76469340.45971087,9877438.534039252,295490.707655972,0.0,0.0
2080-01-01,1935388337.2988527,1917085741.7344184,18302595.56443411,0.0,1852625987.6828194,82762349.61603351,1834855023.3513155,82230718.38310316,17770964.331503756,531631.2329303547,0.0,0.0
2100-01-01,2083178620.0456786,2052668139.2904496,30510480.755228974,0.0,1994246053.0368109,88932567.00886792,1964621803.11393,88046336.17651975,29624249.92288081,886230.8323481629,0.0,0.0
2120-01-01,2237431661.6470804,2189894484.690154,47537176.956926234,0.0,2142118391.5143566,95313270.13272384,2095962015.87092,93932468.81923427,46156375.643436655,1380801.3134895775,0.0,0.0
2140-01-01,2398896259.534867,2329080538.945868,69815720.58899878,0.0,2296965678.111081,101930581.42378558,2229177878.5065126,99902660.43935563,67787799.60456882,2027920.9844299557,0.0,0.0
2160-01-01,2567963760.5450563,2470503258.8331537,97460501.71190245,0.0,2459164057.327037,108799703.21801963,2364534468.1217623,105968790.71139169,94629589.2052745,2830912.506627943,0.0,0.0
2180-01-01,2744736143.028024,2614387930.393372,130348212.63465245,0.0,2628809425.8719454,115926717.1560789,2502247407.42758,112140522.96579216,126562018.44436571,3786194.190286741,0.0,0.0
2200-01-01,2929110512.2781315,2760868587.940551,168241924.33758098,0.0,2805800021.8473406,123310490.43079104,2642444981.523083,118423606.41746727,163355040.32425722,4886884.013323771,0.0,0.0
